Id,Source,Target,Type,Weight
479,219,207,undirected,1
480,213,207,undirected,1
481,212,207,undirected,1
482,209,207,undirected,1
483,216,207,undirected,1
484,211,207,undirected,1
485,208,207,undirected,1
486,218,207,undirected,1
487,220,207,undirected,1
488,217,207,undirected,1
489,215,207,undirected,1
490,214,207,undirected,1
491,210,207,undirected,1
492,213,208,undirected,1
493,219,208,undirected,1
494,212,208,undirected,1
495,209,208,undirected,1
496,216,208,undirected,1
497,211,208,undirected,1
498,218,208,undirected,1
499,220,208,undirected,1
500,217,208,undirected,1
501,215,208,undirected,1
502,214,208,undirected,1
503,210,208,undirected,1
504,213,209,undirected,1
505,219,209,undirected,1
506,212,209,undirected,1
507,216,209,undirected,1
508,211,209,undirected,1
509,218,209,undirected,1
510,220,209,undirected,1
511,217,209,undirected,1
512,215,209,undirected,1
513,214,209,undirected,1
514,210,209,undirected,1
515,269,210,undirected,1
516,266,210,undirected,1
517,267,210,undirected,1
518,268,210,undirected,1
519,263,210,undirected,1
520,213,210,undirected,1
521,219,210,undirected,1
522,212,210,undirected,1
523,216,210,undirected,1
524,211,210,undirected,1
525,218,210,undirected,1
526,220,210,undirected,1
527,217,210,undirected,1
528,215,210,undirected,1
529,214,210,undirected,1
530,246,210,undirected,1
531,238,210,undirected,1
532,245,210,undirected,1
533,247,210,undirected,1
534,213,211,undirected,1
535,219,211,undirected,1
536,212,211,undirected,1
537,216,211,undirected,1
538,218,211,undirected,1
539,220,211,undirected,1
540,217,211,undirected,1
541,215,211,undirected,1
542,214,211,undirected,1
543,213,212,undirected,1
544,219,212,undirected,1
545,216,212,undirected,1
546,218,212,undirected,1
547,220,212,undirected,1
548,217,212,undirected,1
549,215,212,undirected,1
550,214,212,undirected,1
551,246,212,undirected,1
552,238,212,undirected,1
553,245,212,undirected,1
554,247,212,undirected,1
555,219,213,undirected,1
556,216,213,undirected,1
557,218,213,undirected,1
558,220,213,undirected,1
559,217,213,undirected,1
560,215,213,undirected,1
561,214,213,undirected,1
562,246,213,undirected,1
563,238,213,undirected,1
564,245,213,undirected,1
565,247,213,undirected,1
566,219,214,undirected,1
567,216,214,undirected,1
568,218,214,undirected,1
569,220,214,undirected,1
570,217,214,undirected,1
571,215,214,undirected,1
572,268,214,undirected,1
573,238,214,undirected,1
574,230,214,undirected,1
575,219,215,undirected,1
576,216,215,undirected,1
577,218,215,undirected,1
578,220,215,undirected,1
579,217,215,undirected,1
580,219,216,undirected,1
581,218,216,undirected,1
582,220,216,undirected,1
583,217,216,undirected,1
584,219,217,undirected,1
585,218,217,undirected,1
586,220,217,undirected,1
587,219,218,undirected,1
588,220,218,undirected,1
589,220,219,undirected,1
590,228,221,undirected,1
591,242,221,undirected,1
592,244,221,undirected,1
593,243,221,undirected,1
594,230,221,undirected,1
595,227,221,undirected,1
596,222,221,undirected,1
597,225,221,undirected,1
598,224,221,undirected,1
599,217,221,undirected,1
600,223,221,undirected,1
601,233,221,undirected,1
602,262,221,undirected,1
603,261,221,undirected,1
604,260,221,undirected,1
605,225,222,undirected,1
606,224,222,undirected,1
607,217,222,undirected,1
608,223,222,undirected,1
609,263,222,undirected,1
610,224,223,undirected,1
611,217,223,undirected,1
612,225,223,undirected,1
613,224,217,undirected,1
614,225,217,undirected,1
615,233,217,undirected,1
616,262,217,undirected,1
617,261,217,undirected,1
618,260,217,undirected,1
619,225,224,undirected,1
620,233,224,undirected,1
621,262,224,undirected,1
622,261,224,undirected,1
623,260,224,undirected,1
624,233,225,undirected,1
625,262,225,undirected,1
626,261,225,undirected,1
627,260,225,undirected,1
628,232,226,undirected,1
629,228,226,undirected,1
630,231,226,undirected,1
631,229,226,undirected,1
632,230,226,undirected,1
633,227,226,undirected,1
634,228,227,undirected,1
635,242,227,undirected,1
636,244,227,undirected,1
637,243,227,undirected,1
638,230,227,undirected,1
639,232,227,undirected,1
