Id,Source,Target,Type,Weight
1,1,13,undirected,3
2,6,1,undirected,7
3,6,14,undirected,2
4,1,14,undirected,3
5,1,15,undirected,1
6,8,12,undirected,2
7,8,2,undirected,6
8,8,5,undirected,3
9,12,2,undirected,3
10,12,5,undirected,2
11,2,5,undirected,2
12,12,10,undirected,1
13,10,2,undirected,2
14,3,5,undirected,4
15,6,3,undirected,1
16,3,15,undirected,1
17,15,5,undirected,1
18,8,11,undirected,1
19,8,4,undirected,1
20,11,4,undirected,3
21,7,4,undirected,1
22,6,15,undirected,1
23,7,6,undirected,2
24,7,24,undirected,4
25,15,14,undirected,1
26,58,17,undirected,1
27,58,54,undirected,3
28,17,54,undirected,1
29,58,40,undirected,5
30,58,61,undirected,1
31,61,40,undirected,1
32,42,44,undirected,1
33,42,52,undirected,2
34,42,43,undirected,1
35,42,49,undirected,1
36,42,41,undirected,6
37,42,40,undirected,1
38,42,56,undirected,1
39,42,53,undirected,1
40,42,47,undirected,1
41,42,48,undirected,2
42,42,45,undirected,1
43,42,55,undirected,2
44,42,50,undirected,2
45,42,57,undirected,4
46,44,52,undirected,1
47,44,43,undirected,6
48,44,49,undirected,3
49,44,41,undirected,2
50,44,40,undirected,1
51,44,56,undirected,1
52,44,53,undirected,3
53,44,47,undirected,2
54,44,48,undirected,1
55,44,45,undirected,5
56,44,55,undirected,1
57,44,50,undirected,1
58,44,57,undirected,1
59,52,43,undirected,1
60,52,49,undirected,2
61,52,41,undirected,1
62,52,40,undirected,5
63,52,56,undirected,1
64,52,53,undirected,2
65,52,47,undirected,1
66,52,48,undirected,2
67,52,45,undirected,1
68,52,55,undirected,3
69,52,50,undirected,1
70,52,57,undirected,1
71,43,49,undirected,9
72,43,41,undirected,2
73,43,40,undirected,1
74,43,56,undirected,1
75,43,53,undirected,1
76,43,47,undirected,4
77,43,48,undirected,2
78,43,45,undirected,1
79,43,55,undirected,2
80,43,50,undirected,2
81,43,57,undirected,1
82,49,41,undirected,2
83,49,40,undirected,2
84,49,56,undirected,1
85,49,53,undirected,1
86,49,47,undirected,5
87,49,48,undirected,1
88,49,45,undirected,1
89,49,55,undirected,1
90,49,50,undirected,1
91,49,57,undirected,1
92,41,40,undirected,1
93,41,56,undirected,1
94,41,53,undirected,1
95,41,47,undirected,1
96,41,48,undirected,1
97,41,45,undirected,1
98,41,55,undirected,1
99,41,50,undirected,1
100,41,57,undirected,1
101,40,56,undirected,1
102,40,53,undirected,1
103,40,47,undirected,1
104,40,48,undirected,2
105,40,45,undirected,1
106,40,55,undirected,1
107,40,50,undirected,1
108,40,57,undirected,1
109,56,53,undirected,2
110,56,47,undirected,4
111,56,48,undirected,5
112,56,45,undirected,3
113,56,55,undirected,1
114,56,50,undirected,5
115,56,57,undirected,1
116,53,47,undirected,1
117,53,48,undirected,3
118,53,45,undirected,1
119,53,55,undirected,1
120,53,50,undirected,2
121,53,57,undirected,1
122,47,48,undirected,1
123,47,45,undirected,5
124,47,55,undirected,1
125,47,50,undirected,1
126,47,57,undirected,1
127,48,45,undirected,3
128,48,55,undirected,1
129,48,50,undirected,13
130,48,57,undirected,1
131,45,55,undirected,1
132,45,50,undirected,3
133,45,57,undirected,1
134,55,50,undirected,1
135,55,57,undirected,1
136,50,57,undirected,1
137,77,41,undirected,2
138,86,42,undirected,7
139,43,54,undirected,5
140,44,54,undirected,9
141,78,50,undirected,2
142,78,45,undirected,1
143,46,83,undirected,2
144,78,47,undirected,4
145,56,78,undirected,1
146,53,78,undirected,1
147,78,48,undirected,1
148,52,61,undirected,1
149,58,52,undirected,2
150,52,54,undirected,2
151,54,57,undirected,1
152,59,56,undirected,1
153,84,79,undirected,4
154,84,98,undirected,3
155,84,87,undirected,1
156,84,88,undirected,3
157,84,101,undirected,3
158,79,98,undirected,1
159,79,87,undirected,3
160,79,88,undirected,3
161,79,101,undirected,1
162,98,87,undirected,1
163,98,88,undirected,4
164,98,101,undirected,4
165,87,88,undirected,1
166,87,101,undirected,1
167,88,101,undirected,4
168,88,92,undirected,2
169,79,92,undirected,2
170,99,93,undirected,9
171,99,95,undirected,8
172,99,80,undirected,11
173,99,89,undirected,6
174,93,95,undirected,8
175,93,80,undirected,9
176,93,89,undirected,6
177,95,80,undirected,9
178,95,89,undirected,6
179,80,89,undirected,6
180,99,85,undirected,1
181,85,80,undirected,1
182,106,81,undirected,3
183,106,83,undirected,9
184,81,83,undirected,34
185,102,83,undirected,4
186,102,106,undirected,2
187,102,100,undirected,2
188,102,81,undirected,4
189,83,100,undirected,3
190,106,100,undirected,2
191,100,81,undirected,3
192,81,82,undirected,17
193,83,82,undirected,1
194,84,103,undirected,1
195,96,86,undirected,19
196,96,91,undirected,36
197,96,85,undirected,2
198,86,91,undirected,22
199,86,85,undirected,4
200,91,85,undirected,1
201,87,97,undirected,1
202,87,92,undirected,1
203,110,91,undirected,3
204,110,96,undirected,4
205,92,101,undirected,1
206,108,97,undirected,3
