Id,name,faculty,department,number_of_papers
1,Predrag Janicic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,37
2,Gordana M. Pavlovic Lazetic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,13
3,Miodrag V. Zivkovic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,11
4,Vladimir J. Filipovic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,21
5,Sasa N. Malkov,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,11
6,Filip M. Maric,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,16
7,Miroslav Maric,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,29
8,Nenad S. Mitic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,13
10,Jelena B. Graovac,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,4
11,Aleksandar Kartelj,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,6
12,Jovana J. Kovacevic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,4
13,Vesna Marinkovic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,4
14,Mladen Nikolic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,9
15,Milena M. Vujosevic Janicic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,6
17,Stasa Vujicic Stankovic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,3
24,Nina Radojicic,Matematicki Fakultet,Katedra Za Racunarstvo I Informatiku,4
40,Bosko Nikolic,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,34
41,Dragan S. Milicev,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,22
42,Zoran M. Jovanovic,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,33
43,Jelica Z. Protic,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,31
44,Milo V. Tomasevic,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,46
45,Miroslav Bojovic,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,15
46,Sanja Vranes,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,67
47,Dragan M. Bojic,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,23
48,Zaharije R. Radivojevic,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,16
49,Igor I. Tartalja,Elektrotehnicki Fakultet,Katedra Za Racunarsku Tehniku I Informatiku,20
