Id,Source,Target,Type,Weight
5504,4251,4345,directed,1
5505,4251,4433,directed,1
5506,4251,4254,directed,1
5507,4251,4255,directed,1
5508,4251,4421,directed,1
5509,4251,4257,directed,1
5510,4251,4258,directed,1
5511,4251,4259,directed,1
5512,4251,4357,directed,1
5513,4251,4261,directed,1
5514,4251,4423,directed,1
5515,4251,4349,directed,1
5516,4251,4420,directed,1
5517,4251,4265,directed,1
5518,4251,4266,directed,1
5519,4251,4267,directed,1
5520,4251,4268,directed,1
5521,4251,4269,directed,1
5522,4251,4270,directed,1
5523,4251,4271,directed,1
5524,4251,4272,directed,1
5525,4251,4273,directed,1
5526,4251,4274,directed,1
5527,4251,4275,directed,1
5528,4251,4276,directed,1
5529,4251,4348,directed,1
5530,4251,4278,directed,1
5531,4251,4425,directed,1
5532,4251,4280,directed,1
5533,4251,4281,directed,1
5534,4251,4355,directed,1
5535,4251,4283,directed,1
5536,4251,4284,directed,1
5537,4251,4432,directed,1
5538,4251,4424,directed,1
5539,4251,4287,directed,1
5540,4251,4288,directed,1
5541,4251,4289,directed,1
5542,4251,4290,directed,1
5543,4251,4390,directed,1
5544,4251,4408,directed,1
5545,4251,4293,directed,1
5546,4251,4294,directed,1
5547,4251,4394,directed,1
5548,4251,4416,directed,1
5549,4251,4396,directed,1
5550,4251,4418,directed,1
5551,4251,4399,directed,1
5552,4251,4300,directed,1
5553,4251,4419,directed,1
5554,4251,4302,directed,1
5555,4251,4303,directed,1
5556,4251,4337,directed,1
5557,4251,4338,directed,1
5558,4251,4340,directed,1
5559,4251,4307,directed,1
5560,4251,4356,directed,1
5561,4251,4309,directed,1
5562,4251,4435,directed,1
5563,4251,4311,directed,1
5564,4251,4312,directed,1
5565,4251,4411,directed,1
5566,4251,4413,directed,1
5567,4251,4315,directed,1
5568,4251,4316,directed,1
5569,4251,4317,directed,1
5570,4251,4318,directed,1
5571,4251,4319,directed,1
5572,4251,4320,directed,1
5573,4251,4321,directed,1
5574,4251,4381,directed,1
5575,4251,4323,directed,1
5576,4251,4324,directed,1
5577,4251,4325,directed,1
5578,4251,4326,directed,1
5579,4251,4327,directed,1
5580,4251,4328,directed,1
5581,4251,4329,directed,1
5582,4251,4330,directed,1
5583,4251,4331,directed,1
5584,4251,4332,directed,1
5585,4251,4415,directed,1
5586,4251,4334,directed,1
5587,4251,4335,directed,1
5588,4251,4392,directed,1
5589,4251,4337,directed,1
5590,4251,4338,directed,1
5591,4251,4416,directed,1
5592,4251,4340,directed,1
5593,4251,4418,directed,1
5594,4251,4342,directed,1
5595,4251,4435,directed,1
5596,4251,4344,directed,1
5597,4251,4345,directed,1
5598,4251,4346,directed,1
5599,4251,4347,directed,1
