Id,Source,Target,Type,Weight
479,213,207,undirected,1
480,214,207,undirected,1
481,211,207,undirected,1
482,215,207,undirected,1
483,219,207,undirected,1
484,208,207,undirected,1
485,216,207,undirected,1
486,218,207,undirected,1
487,212,207,undirected,1
488,220,207,undirected,1
489,217,207,undirected,1
490,209,207,undirected,1
491,210,207,undirected,1
492,213,208,undirected,1
493,214,208,undirected,1
494,211,208,undirected,1
495,215,208,undirected,1
496,219,208,undirected,1
497,216,208,undirected,1
498,218,208,undirected,1
499,212,208,undirected,1
500,220,208,undirected,1
501,217,208,undirected,1
502,209,208,undirected,1
503,210,208,undirected,1
504,213,209,undirected,1
505,214,209,undirected,1
506,211,209,undirected,1
507,215,209,undirected,1
508,219,209,undirected,1
509,216,209,undirected,1
510,218,209,undirected,1
511,212,209,undirected,1
512,220,209,undirected,1
513,217,209,undirected,1
514,210,209,undirected,1
515,263,210,undirected,1
516,267,210,undirected,1
517,269,210,undirected,1
518,266,210,undirected,1
519,268,210,undirected,1
520,213,210,undirected,1
521,214,210,undirected,1
522,211,210,undirected,1
523,215,210,undirected,1
524,219,210,undirected,1
525,216,210,undirected,1
526,218,210,undirected,1
527,212,210,undirected,1
528,220,210,undirected,1
529,217,210,undirected,1
530,245,210,undirected,1
531,238,210,undirected,1
532,246,210,undirected,1
533,247,210,undirected,1
534,213,211,undirected,1
535,214,211,undirected,1
536,215,211,undirected,1
537,219,211,undirected,1
538,216,211,undirected,1
539,218,211,undirected,1
540,212,211,undirected,1
541,220,211,undirected,1
542,217,211,undirected,1
543,213,212,undirected,1
544,214,212,undirected,1
545,215,212,undirected,1
546,219,212,undirected,1
547,216,212,undirected,1
548,218,212,undirected,1
549,220,212,undirected,1
550,217,212,undirected,1
551,245,212,undirected,1
552,238,212,undirected,1
553,246,212,undirected,1
554,247,212,undirected,1
555,214,213,undirected,1
556,215,213,undirected,1
557,219,213,undirected,1
558,216,213,undirected,1
559,218,213,undirected,1
560,220,213,undirected,1
561,217,213,undirected,1
562,245,213,undirected,1
563,238,213,undirected,1
564,246,213,undirected,1
565,247,213,undirected,1
566,215,214,undirected,1
567,219,214,undirected,1
568,216,214,undirected,1
569,218,214,undirected,1
