Id,Source,Target,Type,Weight
10559,9254,9253,directed,1
10560,9256,9255,directed,1
10561,9258,9257,directed,1
10562,9260,9259,directed,1
10563,9261,9259,directed,1
10564,9262,9259,directed,1
10565,9264,9263,directed,1
10566,9266,9265,directed,1
10567,9268,9267,directed,1
10568,9269,9259,directed,1
10569,9270,9259,directed,1
10570,9271,9257,directed,1
10571,9272,9259,directed,1
10572,9273,9267,directed,1
10573,9274,9259,directed,1
10574,9275,9257,directed,1
10575,9277,9276,directed,1
10576,9278,9259,directed,1
10577,9279,9259,directed,1
10578,9280,9259,directed,1
10579,9281,9259,directed,1
10580,9283,9282,directed,1
10581,9285,9284,directed,1
10582,9287,9286,directed,1
10583,9289,9288,directed,1
10584,9290,9259,directed,1
10585,9291,9259,directed,1
10586,9292,9259,directed,1
10587,9293,9259,directed,1
10588,9295,9294,directed,1
10589,9297,9296,directed,1
10590,9299,9298,directed,1
10591,9300,9284,directed,1
10592,9301,9257,directed,1
10593,9303,9302,directed,1
10594,9305,9304,directed,1
10595,9306,9259,directed,1
10596,9308,9307,directed,1
10597,9310,9309,directed,1
10598,9312,9311,directed,1
10599,9314,9313,directed,1
10600,9315,9307,directed,1
10601,9317,9316,directed,1
10602,9318,9288,directed,1
10603,9320,9319,directed,1
10604,9322,9321,directed,1
10605,9323,9294,directed,1
10606,9324,9307,directed,1
10607,9325,9294,directed,1
10608,9327,9326,directed,1
10609,9329,9328,directed,1
10610,9331,9330,directed,1
10611,9332,9328,directed,1
10612,9333,9259,directed,1
10613,9335,9334,directed,1
10614,9337,9336,directed,1
10615,9339,9338,directed,1
10616,9340,9334,directed,1
10617,9342,9341,directed,1
10618,9344,9343,directed,1
10619,9346,9345,directed,1
10620,9347,9309,directed,1
10621,9349,9348,directed,1
10622,9351,9350,directed,1
10623,9352,9328,directed,1
10624,9354,9353,directed,1
10625,9356,9355,directed,1
10626,9357,9328,directed,1
10627,9359,9358,directed,1
10628,9361,9360,directed,1
10629,9363,9362,directed,1
10630,9364,9309,directed,1
10631,9366,9365,directed,1
10632,9368,9367,directed,1
10633,9369,9365,directed,1
10634,9371,9370,directed,1
10635,9372,9370,directed,1
10636,9373,9304,directed,1
10637,9375,9374,directed,1
10638,9376,9304,directed,1
10639,9377,9304,directed,1
10640,9379,9378,directed,1
10641,9381,9380,directed,1
10642,9383,9382,directed,1
