Id,Source,Target,Type,Weight
7998,7002,7003,directed,1
7999,7002,7004,directed,1
8000,7002,7005,directed,1
8001,7002,7006,directed,1
8002,7002,7007,directed,1
8003,7002,7008,directed,1
8004,7002,7009,directed,1
8005,7002,7010,directed,1
8006,7002,7011,directed,1
8007,7002,7012,directed,1
8008,7002,7013,directed,1
8009,7002,7014,directed,1
8010,7002,7015,directed,1
8011,7002,7016,directed,1
8012,7002,7017,directed,1
8013,7002,7018,directed,1
8014,7002,7019,directed,1
8015,7002,7020,directed,1
8016,7002,7021,directed,1
8017,7002,7022,directed,1
8018,7002,7023,directed,1
8019,7002,7024,directed,1
8020,7002,7025,directed,1
8021,7002,7026,directed,1
8022,7002,7027,directed,1
8023,7002,7028,directed,1
8024,7002,7029,directed,1
8025,7002,7030,directed,1
8026,7002,7031,directed,1
8027,7002,7032,directed,1
8028,7002,7033,directed,1
8029,7002,7034,directed,1
8030,7002,7035,directed,1
8031,7002,7036,directed,1
8032,7002,7037,directed,1
8033,7002,7038,directed,1
8034,7002,7039,directed,1
8035,7040,7041,directed,1
8036,7040,7042,directed,1
8037,7040,7043,directed,1
8038,7040,7044,directed,1
8039,7040,7045,directed,1
8040,7040,7046,directed,1
8041,7040,7047,directed,1
8042,7040,7048,directed,1
8043,7040,7049,directed,1
8044,7040,7050,directed,1
8045,7040,7051,directed,1
8046,7040,7052,directed,1
8047,7040,7053,directed,1
8048,7054,7055,directed,1
8049,7054,7056,directed,1
8050,7054,7057,directed,1
8051,7054,7058,directed,1
8052,7054,7059,directed,1
8053,7054,7060,directed,1
8054,7054,7061,directed,1
8055,7054,7062,directed,1
8056,7054,7063,directed,1
8057,7054,7064,directed,1
8058,7054,7065,directed,1
8059,7066,7067,directed,1
8060,7066,7068,directed,1
8061,7066,7069,directed,1
8062,7066,7070,directed,1
8063,7066,7071,directed,1
8064,7066,7072,directed,1
8065,7066,7073,directed,1
8066,7066,7074,directed,1
8067,7066,7075,directed,1
8068,7066,7076,directed,1
8069,7066,7077,directed,1
8070,7066,7078,directed,1
8071,7066,7079,directed,1
8072,7066,7080,directed,1
8073,7066,7081,directed,1
8074,7066,7082,directed,1
8075,7066,7083,directed,1
8076,7066,7084,directed,1
8077,7066,7085,directed,1
8078,7066,7086,directed,1
8079,7066,7087,directed,1
8080,7088,7041,directed,1
8081,7088,7043,directed,1
8082,7088,7059,directed,1
8083,7088,7089,directed,1
8084,7088,7060,directed,1
8085,7088,7090,directed,1
8086,7088,7091,directed,1
8087,7088,7092,directed,1
8088,7088,7063,directed,1
8089,7088,7064,directed,1
8090,7088,7093,directed,1
8091,7094,7022,directed,1
8092,7094,7014,directed,1
8093,7094,7012,directed,1
8094,7094,7095,directed,1
8095,7094,7096,directed,1
8096,7094,7056,directed,1
8097,7094,7097,directed,1
8098,7094,7005,directed,1
8099,7094,7098,directed,1
8100,7094,7099,directed,1
8101,7094,7009,directed,1
8102,7094,7100,directed,1
8103,7094,7101,directed,1
8104,7094,7102,directed,1
8105,7094,7038,directed,1
8106,7094,7031,directed,1
8107,7103,7104,directed,1
8108,7103,7105,directed,1
8109,7103,7106,directed,1
8110,7103,7107,directed,1
8111,7103,7108,directed,1
8112,7103,7109,directed,1
8113,7103,7110,directed,1
8114,7103,7111,directed,1
8115,7103,7112,directed,1
8116,7103,7113,directed,1
8117,7103,7114,directed,1
8118,7103,7095,directed,1
8119,7103,7115,directed,1
8120,7103,7116,directed,1
8121,7103,7117,directed,1
8122,7103,7118,directed,1
8123,7103,7119,directed,1
8124,7103,7120,directed,1
8125,7103,7079,directed,1
8126,7103,7097,directed,1
8127,7103,7121,directed,1
8128,7103,7122,directed,1
8129,7103,7123,directed,1
8130,7103,7124,directed,1
8131,7103,7125,directed,1
8132,7103,7126,directed,1
8133,7103,7127,directed,1
8134,7103,7128,directed,1
8135,7103,7129,directed,1
8136,7130,7041,directed,1
8137,7130,7131,directed,1
8138,7130,7132,directed,1
8139,7130,7043,directed,1
8140,7130,7133,directed,1
8141,7130,7044,directed,1
8142,7130,7048,directed,1
8143,7130,7050,directed,1
8144,7130,7076,directed,1
8145,7130,7134,directed,1
8146,7130,7135,directed,1
8147,7130,7093,directed,1
