Id,author_name,paper_name,node_type
7002,predrag janicic,,author
7003,,gd-sat model and crossover line,article
7004,,wingclc - a workbench for formally describing figures,conference paper
7005,,urbiva: uniform reduction to bit-vector arithmetic,conference paper
7006,,geothms - a web system for euclidean constructive geometry,article
7007,,"integrating dynamic geometry software, deduction systems, and theorem repositories",conference paper
7008,,towards understanding triangle construction problems,conference paper
7009,,formal correctness proof for dpll procedure,article
7010,,geometry constructions language,conference paper
7011,,system description: gclcprover + geothms,conference paper
7012,,argo-lib: a generic platform for decision procedures,conference paper
7013,,computer theorem proving for verifiable solving of geometric construction problems,conference paper
7014,,simple algorithm portfolio for sat,article
7015,,the area method: a recapitulation,article
7016,,a vernacular for coherent logic,conference paper
7017,,automatic synthesis of decision procedures: a case study of ground and linear arithmetic,conference paper
7018,,constructibility classes for triangle location problems,article
7019,,proving correctness of a krk chess endgame strategy by sat-based constraint solving,article
7020,,cdcl-based abstract state transition system for coherent logic,conference paper
7021,,automated generation of machine verifiable and readable proofs: a case study of tarski’s geometry,article
7022,,proving correctness of a krk chess endgame strategy by using isabelle/hol and z3,conference paper
7023,,simple characterization of functionally complete one-element sets of propositional connectives,article
7024,,gclc - a tool for constructive euclidean geometry and more than that,conference paper
7025,,on different models for generating random sat problems,article
7026,,a general setting for flexibly combining and augmenting decision procedures,article
7027,,n-gram-based classification and unsupervised hierarchical clustering of genome sequences,article
7028,,a variant of n-gram based language classification,conference paper
7029,,automated theorem proving in geogebra: current achievements,article
7030,,ursa: a system for uniform reduction to sat,article
7031,,formalization of abstract state transition systems for sat,article
7032,,logical analysis of hash functions,conference paper
7033,,a coherent logic based geometry theorem prover capable of producing formal and readable proofs,conference paper
7034,,random k-gd-sat model and its phase transition,article
7035,,"constructions, instructions, interactions",article
7036,,learning strategies for mechanised building of decision procedures,conference paper
7037,,a framework for the flexible integration of a class of decision procedures into theorem provers,conference paper
7038,,instance-based selection of policies for sat solvers,conference paper
7039,,automatic verification of regular constructions in dynamic geometry systems,conference paper
7040,gordana m. pavlovic lazetic,,author
7041,,structural disorder of plasmid-encoded proteins in bacteria and archaea,article
7042,,towards full lexical recognition,conference paper
7043,,bioinformatics analysis of disordered proteins in prokaryotes,article
7044,,sars-cov genome polymorphism: a bioinformatics study,article
7045,,corpora issues in validation of serbian wordnet,conference paper
7046,,hierarchical vs. flat n-gram-based text categorization: can we do better?,article
7047,,managing text as data,conference paper
7048,,could n-gram analysis contribute to genomic island determination?,article
7049,,ontology-driven conceptual document classification,conference paper
7050,,bioinformatics analysis of sars coronavirus genome polymorphism,article
7051,,towards a database for genotype-phenotype association research: mining data from encyclopaedia,article
7052,,multimedia database of the cultural heritage of the balkans,conference paper
7053,,n-gram characterization of genomic islands in bacterial genomes,article
7054,miodrag v. zivkovic,,author
7055,,comparison of random s-box generation methods,article
7056,,formalizing frankl's conjecture: fc-families,conference paper
7057,,extremal families containing no two sets and their union,conference paper
7058,,"classification of small (0, 1) matrices",article
7059,,statistical dependence of protein secondary structure on amino acid bigrams [statisticka zavisnost sekundarne strukture proteina od frekvencije bigrama aminokiselina],article
7060,,a reexamination of the propensities of amino acids towards a particular secondary structure: classification of amino acids based on their chemical structure,conference paper
7061,,on the number of equivalence classes of invertible boolean functions under action of permutation of variables on domain and range,article
7062,,almost weakly self-dual bases for finite fields,article
7063,,what are preferred water-aromatic interactions in proteins and crystal structures of small molecules?,article
7064,,a reexamination of correlations of amino acids with particular secondary structures,article
7065,b'',b'the number of primes \xe2\x88\x91ni=1(-1)n-ii! is finite',b'article'
7066,vladimir j. filipovic,,author
7067,,solving the two-dimensional packing problem with m-m calculus,article
7068,,ga inspired heuristic for uncapacitated single allocation hub location problem,conference paper
7069,,assessment of possible association between rs3787016 and prostate cancer risk in serbian population,article
7070,,fine-grained tournament selection operator in genetic algorithms,article
7071,,a genetic algorithm for the routing and carrier selection problem,article
7072,,the modification of genetic algorithms for solving the balanced location problem,conference paper
