Id,Source,Target,Type,Weight
1,1,13,undirected,3
2,1,6,undirected,7
3,14,1,undirected,3
4,14,6,undirected,2
5,1,15,undirected,1
6,5,2,undirected,2
7,5,8,undirected,3
8,5,12,undirected,2
9,2,8,undirected,6
10,2,12,undirected,3
11,8,12,undirected,2
12,10,2,undirected,2
13,10,12,undirected,1
14,5,3,undirected,4
15,3,6,undirected,1
16,5,15,undirected,1
17,3,15,undirected,1
18,8,11,undirected,1
19,8,4,undirected,1
20,11,4,undirected,3
21,7,4,undirected,1
22,15,6,undirected,1
23,6,7,undirected,2
24,24,7,undirected,4
25,15,14,undirected,1
26,17,58,undirected,1
27,17,54,undirected,1
28,58,54,undirected,3
29,40,58,undirected,5
30,61,40,undirected,1
31,61,58,undirected,1
32,49,45,undirected,1
33,49,55,undirected,1
34,49,47,undirected,5
35,49,43,undirected,9
36,49,56,undirected,1
37,49,53,undirected,1
38,49,41,undirected,2
39,49,52,undirected,2
40,49,40,undirected,2
41,49,50,undirected,1
42,49,48,undirected,1
43,49,57,undirected,1
44,49,44,undirected,3
45,49,42,undirected,1
46,45,55,undirected,1
47,45,47,undirected,5
48,45,43,undirected,1
49,45,56,undirected,3
50,45,53,undirected,1
51,45,41,undirected,1
52,45,52,undirected,1
53,45,40,undirected,1
54,45,50,undirected,3
55,45,48,undirected,3
56,45,57,undirected,1
57,45,44,undirected,5
58,45,42,undirected,1
59,55,47,undirected,1
60,55,43,undirected,2
61,55,56,undirected,1
62,55,53,undirected,1
63,55,41,undirected,1
64,55,52,undirected,3
65,55,40,undirected,1
66,55,50,undirected,1
67,55,48,undirected,1
68,55,57,undirected,1
69,55,44,undirected,1
70,55,42,undirected,2
71,47,43,undirected,4
72,47,56,undirected,4
73,47,53,undirected,1
74,47,41,undirected,1
75,47,52,undirected,1
76,47,40,undirected,1
77,47,50,undirected,1
78,47,48,undirected,1
79,47,57,undirected,1
80,47,44,undirected,2
81,47,42,undirected,1
82,43,56,undirected,1
83,43,53,undirected,1
84,43,41,undirected,2
85,43,52,undirected,1
86,43,40,undirected,1
87,43,50,undirected,2
88,43,48,undirected,2
89,43,57,undirected,1
90,43,44,undirected,6
91,43,42,undirected,1
92,56,53,undirected,2
93,56,41,undirected,1
94,56,52,undirected,1
95,56,40,undirected,1
96,56,50,undirected,5
97,56,48,undirected,5
98,56,57,undirected,1
99,56,44,undirected,1
100,56,42,undirected,1
101,53,41,undirected,1
102,53,52,undirected,2
103,53,40,undirected,1
104,53,50,undirected,2
105,53,48,undirected,3
106,53,57,undirected,1
107,53,44,undirected,3
108,53,42,undirected,1
109,41,52,undirected,1
110,41,40,undirected,1
111,41,50,undirected,1
112,41,48,undirected,1
113,41,57,undirected,1
114,41,44,undirected,2
115,41,42,undirected,6
116,52,40,undirected,5
117,52,50,undirected,1
118,52,48,undirected,2
119,52,57,undirected,1
120,52,44,undirected,1
121,52,42,undirected,2
122,40,50,undirected,1
123,40,48,undirected,2
124,40,57,undirected,1
125,40,44,undirected,1
126,40,42,undirected,1
127,50,48,undirected,13
128,50,57,undirected,1
129,50,44,undirected,1
130,50,42,undirected,2
131,48,57,undirected,1
132,48,44,undirected,1
133,48,42,undirected,2
134,57,44,undirected,1
135,57,42,undirected,4
136,44,42,undirected,1
137,41,77,undirected,2
138,86,42,undirected,7
139,54,43,undirected,5
140,44,54,undirected,9
141,78,45,undirected,1
142,78,50,undirected,2
143,83,46,undirected,2
144,47,78,undirected,4
145,56,78,undirected,1
146,53,78,undirected,1
147,78,48,undirected,1
148,52,61,undirected,1
149,52,58,undirected,2
150,52,54,undirected,2
151,54,57,undirected,1
152,59,56,undirected,1
153,101,98,undirected,4
154,101,88,undirected,4
155,101,84,undirected,3
156,101,87,undirected,1
157,101,79,undirected,1
158,98,88,undirected,4
159,98,84,undirected,3
160,98,87,undirected,1
161,98,79,undirected,1
162,88,84,undirected,3
163,88,87,undirected,1
164,88,79,undirected,3
165,84,87,undirected,1
166,84,79,undirected,4
167,87,79,undirected,3
168,79,92,undirected,2
169,92,88,undirected,2
170,80,89,undirected,6
171,80,95,undirected,9
172,80,93,undirected,9
173,80,99,undirected,11
174,89,95,undirected,6
175,89,93,undirected,6
176,89,99,undirected,6
177,95,93,undirected,8
178,95,99,undirected,8
179,93,99,undirected,9
180,80,85,undirected,1
181,99,85,undirected,1
182,106,83,undirected,9
183,106,81,undirected,3
184,83,81,undirected,34
185,100,102,undirected,2
186,100,83,undirected,3
187,100,106,undirected,2
188,100,81,undirected,3
189,102,83,undirected,4
190,102,106,undirected,2
191,102,81,undirected,4
192,82,81,undirected,17
193,82,83,undirected,1
194,84,103,undirected,1
195,86,96,undirected,19
196,86,91,undirected,22
197,86,85,undirected,4
198,96,91,undirected,36
199,96,85,undirected,2
200,91,85,undirected,1
201,97,87,undirected,1
202,87,92,undirected,1
203,110,96,undirected,4
204,110,91,undirected,3
205,101,92,undirected,1
206,97,108,undirected,3
