Id,Source,Target,Type,Weight
6807,6767,6768,directed,3
6808,6766,6768,directed,3
6809,6767,6769,directed,5
6810,6766,6769,directed,5
6811,6767,6770,directed,8
6812,6766,6770,directed,8
6813,6767,6771,directed,6
6814,6766,6771,directed,6
6815,6767,6772,directed,9
6816,6766,6772,directed,9
6817,6767,6773,directed,22
6818,6766,6773,directed,22
6819,6767,6774,directed,4
6820,6766,6774,directed,4
6821,6767,6775,directed,11
6822,6766,6775,directed,11
6823,6767,6776,directed,15
6824,6766,6776,directed,15
6825,6767,6777,directed,15
6826,6766,6777,directed,15
6827,6767,6778,directed,11
6828,6766,6778,directed,11
6829,6767,6779,directed,1
6830,6766,6779,directed,1
6831,6767,6780,directed,6
6832,6766,6780,directed,6
6833,6767,6781,directed,4
6834,6766,6781,directed,4
6835,6767,6782,directed,2
6836,6766,6782,directed,2
6837,6767,6783,directed,7
6838,6766,6783,directed,7
6839,6767,6784,directed,9
6840,6766,6784,directed,9
6841,6767,6785,directed,22
6842,6766,6785,directed,22
6843,6767,6786,directed,1
6844,6766,6786,directed,1
6845,6767,6787,directed,5
6846,6766,6787,directed,5
6847,6767,6788,directed,1
6848,6766,6788,directed,1
6849,6790,6785,directed,22
6850,6789,6785,directed,22
6851,6790,6780,directed,19
6852,6789,6780,directed,19
6853,6790,6777,directed,15
6854,6789,6777,directed,15
6855,6790,6775,directed,27
6856,6789,6775,directed,27
6857,6790,6787,directed,5
6858,6789,6787,directed,5
6859,6790,6773,directed,30
6860,6789,6773,directed,30
6861,6790,6779,directed,4
6862,6789,6779,directed,4
6863,6790,6776,directed,26
6864,6789,6776,directed,26
6865,6790,6783,directed,10
6866,6789,6783,directed,10
6867,6790,6784,directed,16
6868,6789,6784,directed,16
6869,6790,6778,directed,21
6870,6789,6778,directed,21
6871,6790,6781,directed,13
6872,6789,6781,directed,13
6873,6790,6769,directed,3
6874,6789,6769,directed,3
6875,6790,6771,directed,6
6876,6789,6771,directed,6
6877,6790,6791,directed,7
6878,6789,6791,directed,7
6879,6790,6792,directed,9
6880,6789,6792,directed,9
6881,6790,6768,directed,6
6882,6789,6768,directed,6
6883,6790,6788,directed,4
6884,6789,6788,directed,4
6885,6790,6770,directed,8
6886,6789,6770,directed,8
6887,6790,6782,directed,8
6888,6789,6782,directed,8
6889,6790,6772,directed,8
6890,6789,6772,directed,8
6891,6790,6793,directed,8
6892,6789,6793,directed,8
6893,6790,6794,directed,2
6894,6789,6794,directed,2
6895,6790,6795,directed,9
6896,6789,6795,directed,9
6897,6790,6774,directed,3
6898,6789,6774,directed,3
6899,6790,6796,directed,9
6900,6789,6796,directed,9
6901,6790,6797,directed,3
6902,6789,6797,directed,3
6903,6790,6798,directed,1
6904,6789,6798,directed,1
6905,6800,6770,directed,27
6906,6799,6770,directed,8
6907,6800,6778,directed,25
6908,6799,6778,directed,6
6909,6800,6773,directed,47
6910,6799,6773,directed,7
6911,6800,6785,directed,20
6912,6799,6785,directed,4
6913,6800,6771,directed,20
6914,6799,6771,directed,1
6915,6800,6780,directed,22
6916,6799,6780,directed,4
6917,6800,6775,directed,23
6918,6799,6775,directed,4
6919,6800,6783,directed,32
6920,6801,6783,directed,20
6921,6801,6773,directed,25
6922,6801,6775,directed,15
6923,6801,6780,directed,10
6924,6800,6777,directed,23
6925,6801,6777,directed,8
6926,6801,6770,directed,14
6927,6801,6785,directed,10
6928,6801,6771,directed,15
6929,6800,6798,directed,1
6930,6801,6798,directed,1
6931,6800,6792,directed,7
6932,6801,6792,directed,4
6933,6800,6774,directed,22
6934,6801,6774,directed,19
6935,6800,6781,directed,19
6936,6801,6781,directed,17
6937,6800,6769,directed,11
6938,6801,6769,directed,9
6939,6800,6791,directed,4
6940,6801,6791,directed,4
6941,6800,6796,directed,3
6942,6801,6796,directed,3
6943,6800,6779,directed,7
6944,6801,6779,directed,5
6945,6800,6772,directed,17
6946,6801,6772,directed,16
6947,6800,6787,directed,18
6948,6801,6787,directed,12
6949,6800,6788,directed,6
6950,6801,6788,directed,5
6951,6800,6782,directed,11
6952,6801,6782,directed,5
6953,6801,6778,directed,7
6954,6800,6768,directed,1
6955,6801,6768,directed,1
6956,6800,6793,directed,1
6957,6801,6793,directed,1
6958,6800,6795,directed,4
6959,6801,6795,directed,3
6960,6800,6776,directed,27
6961,6801,6776,directed,8
6962,6800,6802,directed,2
6963,6801,6802,directed,2
6964,6800,6797,directed,1
6965,6801,6797,directed,1
6966,6800,6784,directed,13
6967,6801,6784,directed,3
6968,6799,6777,directed,5
6969,6799,6783,directed,1
6970,6799,6781,directed,1
6971,6803,6777,directed,10
6972,6803,6784,directed,8
6973,6803,6778,directed,12
6974,6803,6785,directed,6
6975,6803,6783,directed,11
6976,6803,6780,directed,8
6977,6803,6770,directed,6
6978,6803,6773,directed,15
6979,6803,6787,directed,6
6980,6803,6788,directed,1
6981,6803,6776,directed,17
6982,6803,6782,directed,6
6983,6803,6771,directed,4
6984,6803,6779,directed,2
6985,6803,6795,directed,1
6986,6803,6792,directed,3
6987,6803,6769,directed,1
6988,6803,6781,directed,1
6989,6803,6774,directed,2
6990,6803,6772,directed,1
6991,6799,6784,directed,2
6992,6799,6776,directed,2
6993,6803,6775,directed,4
6994,6799,6774,directed,1
6995,6799,6769,directed,1
6996,6800,6804,directed,3
6997,6799,6804,directed,3
6998,6800,6805,directed,2
6999,6799,6805,directed,2
7000,6800,6806,directed,1
7001,6799,6806,directed,1
