Id,Source,Target,Type,Weight
12347,11442,11441,directed,1
12348,11444,11443,directed,1
12349,11445,11443,directed,1
12350,11446,11443,directed,1
12351,11447,11443,directed,1
12352,11449,11448,directed,1
12353,11451,11450,directed,1
12354,11452,11450,directed,1
12355,11454,11453,directed,1
12356,11455,11453,directed,1
12357,11456,11453,directed,1
12358,11457,11453,directed,1
12359,11459,11458,directed,1
12360,11460,11458,directed,1
12361,11462,11461,directed,1
12362,11463,11461,directed,1
12363,11464,11461,directed,1
12364,11466,11465,directed,1
12365,11468,11467,directed,1
12366,11469,11467,directed,1
12367,11470,11467,directed,1
12368,11471,11467,directed,1
12369,11472,11467,directed,1
12370,11474,11473,directed,1
12371,11475,11473,directed,1
12372,11476,11473,directed,1
12373,11477,11473,directed,1
12374,11478,11473,directed,1
12375,11480,11479,directed,1
12376,11482,11481,directed,1
12377,11483,11481,directed,1
12378,11485,11484,directed,1
12379,11486,11484,directed,1
12380,11488,11487,directed,1
12381,11490,11489,directed,1
12382,11491,11489,directed,1
12383,11493,11492,directed,1
12384,11495,11494,directed,1
12385,11497,11496,directed,1
12386,11498,11450,directed,1
12387,11499,11453,directed,1
12388,11500,11458,directed,1
12389,11501,11461,directed,1
12390,11502,11465,directed,1
12391,11504,11503,directed,1
12392,11505,11479,directed,1
12393,11506,11481,directed,1
12394,11507,11481,directed,1
12395,11508,11484,directed,1
12396,11510,11509,directed,1
12397,11511,11441,directed,1
12398,11512,11448,directed,1
12399,11513,11450,directed,1
12400,11514,11453,directed,1
12401,11515,11453,directed,1
12402,11516,11465,directed,1
12403,11517,11503,directed,1
12404,11518,11473,directed,1
12405,11519,11473,directed,1
12406,11520,11492,directed,1
12407,11522,11521,directed,1
12408,11523,11496,directed,1
12409,11524,11448,directed,1
12410,11525,11448,directed,1
12411,11526,11450,directed,1
12412,11527,11450,directed,1
12413,11528,11450,directed,1
12414,11529,11453,directed,1
12415,11530,11453,directed,1
12416,11531,11453,directed,1
12417,11532,11453,directed,1
12418,11533,11453,directed,1
12419,11534,11458,directed,1
12420,11535,11458,directed,1
12421,11536,11458,directed,1
12422,11537,11465,directed,1
12423,11538,11465,directed,1
12424,11539,11503,directed,1
12425,11540,11467,directed,1
12426,11541,11479,directed,1
12427,11542,11484,directed,1
12428,11543,11489,directed,1
12429,11544,11496,directed,1
12430,11545,11443,directed,1
12431,11546,11448,directed,1
12432,11547,11448,directed,1
12433,11548,11461,directed,1
12434,11549,11496,directed,1
12435,11550,11448,directed,1
12436,11551,11453,directed,1
12437,11552,11461,directed,1
12438,11553,11465,directed,1
12439,11554,11465,directed,1
12440,11555,11479,directed,1
12441,11556,11484,directed,1
12442,11557,11494,directed,1
12443,11558,11494,directed,1
12444,11559,11494,directed,1
12445,11560,11494,directed,1
12446,11561,11496,directed,1
12447,11562,11496,directed,1
12448,11563,11496,directed,1
12449,11564,11441,directed,1
12450,11565,11441,directed,1
12451,11566,11441,directed,1
12452,11567,11443,directed,1
12453,11568,11443,directed,1
12454,11569,11443,directed,1
12455,11570,11448,directed,1
12456,11571,11448,directed,1
12457,11572,11448,directed,1
