Id,name,node_type,department,faculty
11441,2016,year,set(),set()
11442,constructibility classes for triangle location problems,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11443,2015,year,set(),set()
11444,automated generation of machine verifiable and readable proofs: a case study of tarski’s geometry,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11445,automated theorem proving in geogebra: current achievements,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11446,proving correctness of a krk chess endgame strategy by using isabelle/hol and z3,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11447,computer theorem proving for verifiable solving of geometric construction problems,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11448,2014,year,set(),set()
11449,a vernacular for coherent logic,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11450,2013,year,set(),set()
11451,simple algorithm portfolio for sat,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11452,proving correctness of a krk chess endgame strategy by sat-based constraint solving,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11453,2012,year,set(),set()
11454,ursa: a system for uniform reduction to sat,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11455,cdcl-based abstract state transition system for coherent logic,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11456,towards understanding triangle construction problems,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11457,the area method: a recapitulation,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11458,2011,year,set(),set()
11459,a coherent logic based geometry theorem prover capable of producing formal and readable proofs,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11460,formalization of abstract state transition systems for sat,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11461,2010,year,set(),set()
11462,urbiva: uniform reduction to bit-vector arithmetic,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11463,geometry constructions language,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11464,formal correctness proof for dpll procedure,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11465,2009,year,set(),set()
11466,instance-based selection of policies for sat solvers,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11467,2007,year,set(),set()
11468,automatic verification of regular constructions in dynamic geometry systems,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11469,a variant of n-gram based language classification,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11470,automatic synthesis of decision procedures: a case study of ground and linear arithmetic,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11471,random k-gd-sat model and its phase transition,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11472,geothms - a web system for euclidean constructive geometry,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11473,2006,year,set(),set()
11474,simple characterization of functionally complete one-element sets of propositional connectives,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11475,n-gram-based classification and unsupervised hierarchical clustering of genome sequences,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11476,gclc - a tool for constructive euclidean geometry and more than that,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11477,"integrating dynamic geometry software, deduction systems, and theorem repositories",publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11478,system description: gclcprover + geothms,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11479,2005,year,set(),set()
11480,logical analysis of hash functions,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11481,2004,year,set(),set()
11482,argo-lib: a generic platform for decision procedures,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11483,"constructions, instructions, interactions",publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11484,2003,year,set(),set()
11485,wingclc - a workbench for formally describing figures,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11486,learning strategies for mechanised building of decision procedures,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11487,2002,year,set(),set()
11488,a general setting for flexibly combining and augmenting decision procedures,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11489,2001,year,set(),set()
11490,gd-sat model and crossover line,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11491,on different models for generating random sat problems,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11492,1999,year,set(),set()
11493,a framework for the flexible integration of a class of decision procedures into theorem provers,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11494,2018,year,set(),set()
11495,structural disorder of plasmid-encoded proteins in bacteria and archaea,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11496,2017,year,set(),set()
11497,hierarchical vs. flat n-gram-based text categorization: can we do better?,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11498,towards a database for genotype-phenotype association research: mining data from encyclopaedia,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11499,multimedia database of the cultural heritage of the balkans,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11500,bioinformatics analysis of disordered proteins in prokaryotes,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11501,ontology-driven conceptual document classification,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11502,n-gram characterization of genomic islands in bacterial genomes,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11503,2008,year,set(),set()
11504,could n-gram analysis contribute to genomic island determination?,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11505,sars-cov genome polymorphism: a bioinformatics study,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11506,towards full lexical recognition,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11507,bioinformatics analysis of sars coronavirus genome polymorphism,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11508,corpora issues in validation of serbian wordnet,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11509,1986,year,set(),set()
11510,managing text as data,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11511,on the number of equivalence classes of invertible boolean functions under action of permutation of variables on domain and range,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11512,what are preferred water-aromatic interactions in proteins and crystal structures of small molecules?,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11513,comparison of random s-box generation methods,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11514,formalizing frankl's conjecture: fc-families,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11515,extremal families containing no two sets and their union,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11516,a reexamination of correlations of amino acids with particular secondary structures,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11517,a reexamination of the propensities of amino acids towards a particular secondary structure: classification of amino acids based on their chemical structure,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11518,"classification of small (0, 1) matrices",publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11519,statistical dependence of protein secondary structure on amino acid bigrams [statisticka zavisnost sekundarne strukture proteina od frekvencije bigrama aminokiselina],publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11520,b'the number of primes \xe2\x88\x91ni=1(-1)n-ii! is finite',b'publication',"b""{'katedra za racunarstvo i informatiku'}""","b""{'matematicki fakultet'}"""
11521,1997,year,set(),set()
11522,almost weakly self-dual bases for finite fields,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11523,variable neighborhood search for solving bandwidth coloring problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11524,electromagnetism-like algorithm for support vector machine parameter tuning,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11525,an integer linear formulation for the file transfer scheduling problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11526,a new nonlinear model for the two-dimensional rectangle packing problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11527,an electromagnetism metaheuristic for solving the maximum betweenness problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11528,assessment of possible association between rs3787016 and prostate cancer risk in serbian population,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11529,an integer linear programming formulation and genetic algorithm for the maximum set splitting problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11530,variable neighborhood search for multiple level warehouse layout problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11531,the modification of genetic algorithms for solving the balanced location problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11532,novel approaches to automated personality classification: ideas and their potentials,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11533,a genetic algorithm for the routing and carrier selection problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11534,a new genetic representation for quadratic assignment problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11535,a genetic algorithm for solving multiple warehouse layout problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11536,solving the two-dimensional packing problem with m-m calculus,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11537,ga inspired heuristic for uncapacitated single allocation hub location problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11538,two hybrid genetic algorithms for solving the super-peer selection problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11539,solving the maximally balanced connected partition problem in graphs by using genetic algorithm,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11540,two genetic algorithms for solving the uncapacitated single allocation p-hub median problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11541,genetic algorithm for solving uncapacitated multiple allocation hub location problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11542,fine-grained tournament selection operator in genetic algorithms,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11543,solving the simple plant location problem by genetic algorithm,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11544,new software for collecting data from the organized cervical cancer screening program in serbia. are we on the threshold of a new screening registry? - a multicentric study,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11545,plant regeneration in leaf culture of centaurium erythraea rafn. part 2: the role of arabinogalactan proteins,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11546,what are the preferred horizontal displacements of aromatic-aromatic interactions in proteins? comparison with the calculated benzene-benzene potential energy surface,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11547,milutin milankovic digital legacy,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11548,customizing a functional programming language for web development,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11549,b'fast formal proof of the erd\xc5\x91s\xe2\x80\x93szekeres conjecture for convex polygons with at most 6 points',b'publication',"b""{'katedra za racunarstvo i informatiku'}""","b""{'matematicki fakultet'}"""
11550,mesat: multiple encodings of csp to sat,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11551,formalization of incremental simplex algorithm by stepwise refinement,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11552,formal verification of a modern sat solver by shallow embedding into isabelle/hol,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11553,formalization and implementation of modern sat solvers,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11554,using simplex method in verifying software safety,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
